[run,subrun,event,newhaspi0]
[5930,83,4159,1.0]
[6973,166,8314,1.0]
[6973,166,8333,1.0]
[6973,192,9632,1.0]
[6973,193,9691,1.0]
[7699,19,953,1.0]
[6980,144,7214,1.0]
[7017,371,18567,1.0]
[7017,371,18568,1.0]
[7017,371,18575,1.0]
[7017,371,18585,1.0]
[7017,371,18598,1.0]
[7007,18,913,1.0]
[7007,18,917,1.0]
[7007,18,930,1.0]
[7007,18,931,1.0]
[7007,18,940,1.0]
[7007,18,943,1.0]
[7007,18,949,1.0]
[6590,31,1562,1.0]
[6590,31,1579,1.0]
[6590,34,1743,1.0]
[6590,36,1809,1.0]
[6590,38,1925,1.0]
[6590,39,1971,1.0]
[6080,141,7072,1.0]
[6080,142,7134,1.0]
[6080,158,7903,1.0]
[6080,158,7936,1.0]
[7021,178,8901,1.0]
[7021,178,8905,1.0]
[7021,178,8915,1.0]
[7021,178,8941,1.0]
[7021,178,8944,1.0]
[7021,178,8945,1.0]
[7021,178,8949,1.0]
[7295,71,3591,1.0]
[6329,6,328,1.0]
[7014,641,32058,1.0]
[7014,641,32070,1.0]
[7014,641,32075,1.0]
[7014,641,32092,1.0]
[7021,723,36153,1.0]
[7021,723,36159,1.0]
[7021,723,36165,1.0]
[7008,580,29003,1.0]
[7008,580,29007,1.0]
[7008,580,29013,1.0]
[7008,580,29022,1.0]
[7008,580,29024,1.0]
[7008,580,29033,1.0]
[7008,580,29036,1.0]
[7008,580,29037,1.0]
[7008,580,29040,1.0]
[7008,580,29042,1.0]
[7008,580,29043,1.0]
[6871,172,8601,1.0]
[6871,172,8615,1.0]
[6871,172,8617,1.0]
[6871,172,8627,1.0]
[6871,173,8696,1.0]
[6871,174,8702,1.0]
[5109,20,1014,1.0]
[5109,22,1139,1.0]
[7021,344,17201,1.0]
[7021,344,17221,1.0]
[7021,344,17223,1.0]
[7021,344,17228,1.0]
[7021,344,17231,1.0]
[7021,344,17235,1.0]
[7021,344,17238,1.0]
[7021,344,17240,1.0]
[7021,344,17244,1.0]
[7021,344,17248,1.0]
[6952,123,6170,1.0]
[6952,175,8759,1.0]
[6952,175,8784,1.0]
[6952,176,8842,1.0]
[6952,178,8934,1.0]
[6952,178,8942,1.0]
[6952,179,8964,1.0]
[6952,181,9064,1.0]
[7478,114,5710,1.0]
[7004,271,13557,1.0]
[7004,271,13572,1.0]
[7004,271,13574,1.0]
[7004,271,13586,1.0]
[7008,878,43905,1.0]
[7008,878,43918,1.0]
[7008,878,43926,1.0]
[7008,878,43930,1.0]
[7008,878,43931,1.0]
[7008,878,43934,1.0]
[7023,1211,60558,1.0]
[7023,1211,60566,1.0]
[7023,1211,60573,1.0]
[7023,1211,60576,1.0]
[7023,1211,60587,1.0]
[7011,166,8310,1.0]
[7011,166,8331,1.0]
[7011,166,8342,1.0]
[7011,166,8349,1.0]
[7014,1041,52056,1.0]
[7014,1041,52062,1.0]
[7014,1041,52067,1.0]
[7014,1041,52071,1.0]
[7014,1041,52078,1.0]
[7014,1041,52082,1.0]
[7014,1041,52084,1.0]
[7014,1041,52088,1.0]
[7014,1041,52091,1.0]
[7014,1041,52092,1.0]
[6064,41,2080,1.0]
[6064,42,2140,1.0]
[6064,46,2331,1.0]
[6064,46,2345,1.0]
[6064,47,2362,1.0]
[6064,47,2387,1.0]
[6064,48,2422,1.0]
[6064,48,2449,1.0]
[7023,82,4123,1.0]
[7023,82,4130,1.0]
[7020,246,12308,1.0]
[7020,246,12311,1.0]
[7020,246,12314,1.0]
[7020,246,12326,1.0]
[7020,246,12329,1.0]
[7020,246,12340,1.0]
[7020,246,12343,1.0]
[7026,34,1707,1.0]
[7026,34,1727,1.0]
[7026,34,1738,1.0]
[7026,34,1741,1.0]
[7026,34,1742,1.0]
[7025,382,19110,1.0]
[7025,382,19112,1.0]
[7025,382,19117,1.0]
[7025,382,19119,1.0]
[7025,382,19131,1.0]
[7025,382,19132,1.0]
[7025,382,19135,1.0]
[7025,382,19136,1.0]
[7025,382,19148,1.0]
[7674,10,521,1.0]
[7048,175,8764,1.0]
[7048,175,8767,1.0]
[7048,175,8783,1.0]
[7048,175,8792,1.0]
[7048,175,8799,1.0]
[6266,5,277,1.0]
[6487,94,4713,1.0]
[6487,103,5167,1.0]
[6487,103,5176,1.0]
[6487,103,5197,1.0]
[6487,107,5389,1.0]
[6695,57,2872,1.0]
[7020,1242,62115,1.0]
[7020,1242,62121,1.0]
[7020,1242,62129,1.0]
[7020,1242,62139,1.0]
[7020,1242,62142,1.0]
[7020,1242,62146,1.0]
[7020,1242,62150,1.0]
[7023,1485,74258,1.0]
[7023,1485,74260,1.0]
[7023,1485,74265,1.0]
[7023,1485,74268,1.0]
[7023,1485,74287,1.0]
[7023,1485,74288,1.0]
[7023,1485,74299,1.0]
[7051,87,4361,1.0]
[7051,87,4384,1.0]
[7051,87,4389,1.0]
[7051,87,4393,1.0]
[7051,87,4396,1.0]
[7004,141,7059,1.0]
[7004,141,7063,1.0]
[7004,141,7066,1.0]
[7004,141,7073,1.0]
[7004,141,7076,1.0]
[7004,141,7088,1.0]
[6521,76,3801,1.0]
[6521,76,3827,1.0]
[6521,77,3854,1.0]
[6521,77,3878,1.0]
[6521,77,3900,1.0]
[6521,78,3906,1.0]
[6521,80,4021,1.0]
[6521,80,4026,1.0]
[6521,80,4031,1.0]
[6521,80,4047,1.0]
[6521,82,4142,1.0]
[6521,83,4179,1.0]
[6521,83,4182,1.0]
[6521,83,4183,1.0]
[6521,83,4199,1.0]
[6521,84,4212,1.0]
[6521,84,4226,1.0]
[6521,84,4234,1.0]
[6521,85,4262,1.0]
[6521,85,4291,1.0]
[6589,99,4954,1.0]
[6589,169,8463,1.0]
[7023,1186,59320,1.0]
[7023,1186,59328,1.0]
[7023,1186,59332,1.0]
[7023,1186,59336,1.0]
[7023,1186,59337,1.0]
[7023,1186,59338,1.0]
[7023,1186,59344,1.0]
[7023,1186,59346,1.0]
[7010,1577,78854,1.0]
[7010,1577,78867,1.0]
[7010,1577,78874,1.0]
[7010,1577,78888,1.0]
[7054,633,31653,1.0]
[7054,633,31657,1.0]
[7054,633,31660,1.0]
[7054,633,31665,1.0]
[7054,633,31666,1.0]
[7054,633,31669,1.0]
[7054,633,31671,1.0]
[7054,633,31687,1.0]
[7054,633,31697,1.0]
[7012,852,42610,1.0]
[7012,852,42620,1.0]
[7012,852,42622,1.0]
[7012,852,42635,1.0]
[7012,852,42639,1.0]
[7007,111,5555,1.0]
[7007,111,5560,1.0]
[7020,1311,65552,1.0]
[7020,1311,65554,1.0]
[7020,1311,65557,1.0]
[7020,1311,65565,1.0]
[7020,1311,65566,1.0]
[7020,1311,65581,1.0]
[7020,1311,65586,1.0]
[7010,127,6355,1.0]
[7010,127,6356,1.0]
[7010,127,6361,1.0]
[7010,127,6367,1.0]
[7010,127,6377,1.0]
[7010,127,6390,1.0]
[6406,139,6995,1.0]
[6406,141,7052,1.0]
[6406,141,7057,1.0]
[6406,143,7159,1.0]
[7049,892,44615,1.0]
[7049,892,44628,1.0]
[7049,892,44631,1.0]
[7049,892,44636,1.0]
[7049,892,44641,1.0]
[7049,892,44642,1.0]
[7049,892,44650,1.0]
[7014,303,15154,1.0]
[7014,303,15176,1.0]
[7014,303,15193,1.0]
[7014,303,15198,1.0]
[6375,79,3961,1.0]
[7054,873,43652,1.0]
[7054,873,43662,1.0]
[7054,873,43670,1.0]
[7054,873,43673,1.0]
[7054,873,43677,1.0]
[7054,873,43678,1.0]
[7054,873,43683,1.0]
[7054,873,43684,1.0]
[7504,18,911,1.0]
[6382,16,822,1.0]
[6382,19,972,1.0]
[6382,20,1015,1.0]
[6382,23,1182,1.0]
[7020,1437,71857,1.0]
[7020,1437,71862,1.0]
[7020,1437,71875,1.0]
[7020,1437,71876,1.0]
[7020,1437,71886,1.0]
[7020,1437,71892,1.0]
[7020,1437,71895,1.0]
[6052,26,1311,1.0]
[6052,26,1336,1.0]
[6052,29,1457,1.0]
[6052,29,1484,1.0]
[6052,30,1529,1.0]
[7004,1715,85757,1.0]
[7004,1715,85772,1.0]
[7004,1715,85774,1.0]
[7004,1715,85775,1.0]
[7004,1715,85780,1.0]
[7004,1715,85783,1.0]
[7004,1715,85797,1.0]
[7012,759,37955,1.0]
[7012,759,37975,1.0]
[7012,759,37983,1.0]
[7484,1,61,1.0]
[7484,3,157,1.0]
[7004,948,47404,1.0]
[7004,948,47408,1.0]
[7004,948,47427,1.0]
[7004,948,47431,1.0]
[7004,948,47441,1.0]
[7004,948,47443,1.0]
[7004,948,47445,1.0]
[7018,642,32109,1.0]
[7018,642,32126,1.0]
[7018,642,32135,1.0]
[7018,642,32142,1.0]
[7018,642,32144,1.0]
[7018,642,32149,1.0]
[7018,642,32150,1.0]
[6074,88,4407,1.0]
[6074,112,5616,1.0]
[6074,113,5674,1.0]
[6074,113,5687,1.0]
[6074,114,5708,1.0]
[6074,115,5751,1.0]
[6074,116,5846,1.0]
[6074,117,5879,1.0]
[6633,11,559,1.0]
[6031,147,7398,1.0]
[6031,154,7750,1.0]
[6031,162,8119,1.0]
[6031,163,8156,1.0]
[6031,163,8161,1.0]
[6031,163,8164,1.0]
[6031,163,8177,1.0]
[7006,134,6720,1.0]
[7006,134,6721,1.0]
[7006,134,6731,1.0]
[7006,134,6732,1.0]
[7006,134,6739,1.0]
[7006,134,6741,1.0]
[6139,21,1065,1.0]
[6139,21,1069,1.0]
[7017,259,12971,1.0]
[7017,259,12979,1.0]
[7017,259,12981,1.0]
[7017,259,12999,1.0]
[7003,1170,58516,1.0]
[7003,1170,58529,1.0]
[7003,1170,58531,1.0]
[7003,1170,58542,1.0]
[7003,1170,58547,1.0]
[6482,124,6213,1.0]
[6190,70,3541,1.0]
[6190,70,3548,1.0]
[6190,71,3564,1.0]
[6190,72,3618,1.0]
[6190,72,3638,1.0]
[6190,74,3745,1.0]
[6190,128,6414,1.0]
[6190,128,6420,1.0]
[6190,128,6434,1.0]
[7012,280,14003,1.0]
[7012,280,14011,1.0]
[7012,280,14022,1.0]
[7012,280,14030,1.0]
[7012,280,14035,1.0]
[7012,280,14036,1.0]
[7012,280,14050,1.0]
[6326,48,2434,1.0]
[6326,49,2463,1.0]
[6326,50,2531,1.0]
[6326,52,2601,1.0]
[6326,53,2664,1.0]
[6326,53,2692,1.0]
[6326,53,2693,1.0]
[6326,53,2699,1.0]
[6475,36,1846,1.0]
[7010,1114,55704,1.0]
[7010,1114,55714,1.0]
[7010,1114,55717,1.0]
[7010,1114,55718,1.0]
[7010,1114,55723,1.0]
[7010,1114,55725,1.0]
[7010,1114,55733,1.0]
[7010,1114,55734,1.0]
[7049,1002,50128,1.0]
[7049,1002,50129,1.0]
[7049,1002,50131,1.0]
[7049,1002,50135,1.0]
[7049,1002,50136,1.0]
[7049,1002,50137,1.0]
[7049,1002,50145,1.0]
[7025,241,12052,1.0]
[7025,241,12066,1.0]
[7025,241,12071,1.0]
[7025,241,12075,1.0]
[7025,241,12076,1.0]
[7025,241,12090,1.0]
[7025,241,12100,1.0]
[7014,1638,81903,1.0]
[7014,1638,81906,1.0]
[7014,1638,81917,1.0]
[7014,1638,81925,1.0]
[7014,1638,81928,1.0]
[7014,1638,81936,1.0]
[7014,1638,81950,1.0]
[6777,112,5616,1.0]
[6777,112,5646,1.0]
[6777,113,5674,1.0]
[6777,113,5682,1.0]
[6777,114,5718,1.0]
[6777,114,5719,1.0]
[6777,114,5748,1.0]
[6777,115,5766,1.0]
[6777,118,5917,1.0]
[6777,118,5928,1.0]
[6777,119,5964,1.0]
[6777,120,6021,1.0]
[6777,121,6057,1.0]
[6777,121,6069,1.0]
[6777,121,6082,1.0]
[7003,1381,69051,1.0]
[7003,1381,69054,1.0]
[7003,1381,69061,1.0]
[7003,1381,69063,1.0]
[7003,1381,69072,1.0]
[7003,1381,69081,1.0]
[7003,1381,69082,1.0]
[7003,1381,69100,1.0]
[6957,161,8097,1.0]
[6957,162,8131,1.0]
[6957,162,8132,1.0]
[6957,163,8153,1.0]
[6957,163,8193,1.0]
[6957,164,8246,1.0]
[6957,165,8297,1.0]
[6957,165,8299,1.0]
[6957,168,8402,1.0]
[6957,168,8436,1.0]
[7010,1757,87859,1.0]
[7010,1757,87862,1.0]
[7010,1757,87867,1.0]
[7010,1757,87885,1.0]
[7010,1757,87890,1.0]
[7012,1229,61472,1.0]
[7012,1229,61494,1.0]
[7012,1229,61499,1.0]
[7023,324,16209,1.0]
[7023,324,16224,1.0]
[7023,324,16229,1.0]
[7023,324,16239,1.0]
[7023,324,16241,1.0]
[7023,324,16247,1.0]
[7021,288,14445,1.0]
[7017,1174,58704,1.0]
[7017,1174,58717,1.0]
[7017,1174,58726,1.0]
[7017,1174,58727,1.0]
[7017,1174,58738,1.0]
[7017,1174,58745,1.0]
[7054,1491,74553,1.0]
[7054,1491,74554,1.0]
[7054,1491,74575,1.0]
[7054,1491,74586,1.0]
[7054,1491,74590,1.0]
[7054,1491,74594,1.0]
[7054,1491,74600,1.0]
[6185,15,767,1.0]
[6185,18,915,1.0]
[7006,481,24055,1.0]
[7006,481,24057,1.0]
[7006,481,24062,1.0]
[7006,481,24063,1.0]
[7006,481,24066,1.0]
[7006,481,24072,1.0]
[7006,481,24075,1.0]
[7006,481,24077,1.0]
[7006,481,24079,1.0]
[7006,481,24082,1.0]
[7006,481,24090,1.0]
[7006,481,24095,1.0]
[7006,481,24099,1.0]
[7054,702,35112,1.0]
[7054,702,35139,1.0]
[6466,0,12,1.0]
[6466,0,49,1.0]
[6466,4,215,1.0]
[6466,4,222,1.0]
[6466,4,225,1.0]
[6466,8,410,1.0]
[6466,12,624,1.0]
[7012,1022,51112,1.0]
[7012,1022,51115,1.0]
[7012,1022,51139,1.0]
[7012,1022,51140,1.0]
[7012,1022,51146,1.0]
[7006,410,20519,1.0]
[7006,410,20525,1.0]
[7006,410,20529,1.0]
[7006,410,20533,1.0]
[7006,410,20535,1.0]
[7006,410,20536,1.0]
[7006,410,20540,1.0]
[7006,410,20541,1.0]
[7006,410,20546,1.0]
[6385,4,233,1.0]
[6385,11,577,1.0]
[6385,11,598,1.0]
[7049,1511,75556,1.0]
[7049,1511,75573,1.0]
[7049,1511,75574,1.0]
[7049,1511,75580,1.0]
[7049,1511,75582,1.0]
[7049,1511,75594,1.0]
[5915,143,7157,1.0]
[5915,143,7170,1.0]
[5915,143,7188,1.0]
[5153,110,5508,1.0]
[7054,406,20302,1.0]
[7054,406,20316,1.0]
[7054,406,20326,1.0]
[7054,406,20327,1.0]
[7054,406,20339,1.0]
[7054,406,20342,1.0]
[7054,406,20346,1.0]
[7003,529,26454,1.0]
[7003,529,26467,1.0]
[7003,529,26481,1.0]
[7003,529,26483,1.0]
[7003,529,26486,1.0]
[7003,529,26489,1.0]
[7003,529,26490,1.0]
[7003,529,26499,1.0]
[7023,280,14011,1.0]
[7023,280,14012,1.0]
[7023,280,14016,1.0]
[7023,280,14023,1.0]
[7023,280,14028,1.0]
[7023,280,14031,1.0]
[7023,280,14033,1.0]
[7023,280,14039,1.0]
[6620,10,507,1.0]
[6620,11,557,1.0]
[6620,11,582,1.0]
[6620,12,648,1.0]
[6620,13,667,1.0]
[6620,13,674,1.0]
[6620,13,685,1.0]
[6620,14,701,1.0]
[6620,14,705,1.0]
[6863,64,3205,1.0]
[6863,65,3252,1.0]
[6863,65,3280,1.0]
[6863,66,3304,1.0]
[6863,66,3331,1.0]
[6863,67,3396,1.0]
[7023,1342,67102,1.0]
[7023,1342,67106,1.0]
[7023,1342,67110,1.0]
[7023,1342,67119,1.0]
[7023,1342,67121,1.0]
[7023,1342,67130,1.0]
[7023,1342,67140,1.0]
[7023,1342,67143,1.0]
[7023,1342,67148,1.0]
[6375,36,1850,1.0]
[6375,37,1864,1.0]
[6375,38,1918,1.0]
[6375,39,1982,1.0]
[6375,39,1984,1.0]
[6901,198,9937,1.0]
[6901,199,9982,1.0]
[6901,200,10004,1.0]
[6901,200,10012,1.0]
[6901,201,10067,1.0]
[6901,201,10095,1.0]
[6901,202,10107,1.0]
[6901,204,10241,1.0]
[6901,205,10266,1.0]
[6901,205,10270,1.0]
[7499,12,617,1.0]
[7499,13,655,1.0]
[6919,122,6126,1.0]
[6919,123,6182,1.0]
[6919,123,6188,1.0]
[6919,124,6206,1.0]
[6919,125,6264,1.0]
[6919,125,6278,1.0]
[6919,126,6321,1.0]
[6919,126,6326,1.0]
[7019,406,20305,1.0]
[7019,406,20311,1.0]
[7019,406,20321,1.0]
[7019,406,20334,1.0]
[7019,406,20342,1.0]
[7019,406,20347,1.0]
[6298,120,6034,1.0]
[6298,121,6063,1.0]
[6298,121,6065,1.0]
[6298,121,6081,1.0]
[6298,122,6137,1.0]
[6298,123,6193,1.0]
[6298,124,6233,1.0]
[6298,125,6276,1.0]
[6298,126,6313,1.0]
[6298,126,6318,1.0]
[7019,555,27751,1.0]
[7019,555,27755,1.0]
[7019,555,27757,1.0]
[7019,555,27758,1.0]
[7019,555,27761,1.0]
[7019,555,27764,1.0]
[7019,555,27769,1.0]
[7019,555,27770,1.0]
[7019,555,27788,1.0]
[7019,555,27789,1.0]
[7014,1592,79612,1.0]
[7014,1592,79633,1.0]
[7014,1592,79645,1.0]
[7008,618,30912,1.0]
[7008,618,30927,1.0]
[7008,618,30929,1.0]
[7008,618,30936,1.0]
[7008,618,30943,1.0]
[7008,618,30948,1.0]
[7001,402,20103,1.0]
[7001,402,20125,1.0]
[7001,402,20128,1.0]
[7001,402,20145,1.0]
[7001,402,20148,1.0]
[7004,1440,72011,1.0]
[7004,1440,72027,1.0]
[7004,1440,72042,1.0]
[7004,1440,72049,1.0]
[7004,1440,72050,1.0]
[7421,98,4904,1.0]
[7421,100,5034,1.0]
[7421,102,5127,1.0]
[6362,39,1956,1.0]
[6362,43,2183,1.0]
[6362,44,2206,1.0]
[6362,46,2348,1.0]
[6362,47,2390,1.0]
[6362,58,2901,1.0]
[5965,48,2424,1.0]
[7020,1081,54057,1.0]
[7020,1081,54063,1.0]
[7020,1081,54065,1.0]
[7020,1081,54072,1.0]
[7020,1081,54091,1.0]
[7020,1081,54093,1.0]
[7020,1081,54096,1.0]
[7020,1081,54099,1.0]
[7004,451,22551,1.0]
[7004,451,22563,1.0]
[7004,451,22564,1.0]
[7004,451,22570,1.0]
[7004,451,22571,1.0]
[7004,451,22581,1.0]
[7004,451,22598,1.0]
[7004,451,22599,1.0]
[7004,451,22600,1.0]
[6582,1,89,1.0]
[6582,1,90,1.0]
[6582,3,155,1.0]
[6582,5,252,1.0]
[6582,7,360,1.0]
[6582,7,397,1.0]
[5038,63,3200,1.0]
[5038,64,3202,1.0]
[5038,65,3275,1.0]
[5038,70,3504,1.0]
[5038,70,3539,1.0]
[5038,70,3549,1.0]
[5038,71,3569,1.0]
[6776,173,8661,1.0]
[7049,1034,51710,1.0]
[7049,1034,51718,1.0]
[7049,1034,51722,1.0]
[7049,1034,51729,1.0]
[7049,1034,51740,1.0]
[7049,1034,51747,1.0]
[7055,749,37459,1.0]
[7055,749,37460,1.0]
[7055,749,37465,1.0]
[7055,749,37466,1.0]
[7055,749,37485,1.0]
[7055,749,37490,1.0]
[7055,749,37497,1.0]
[7055,749,37500,1.0]
[7020,1542,77101,1.0]
[7020,1542,77105,1.0]
[7020,1542,77112,1.0]
[7020,1542,77123,1.0]
[7020,1542,77126,1.0]
[7020,1542,77131,1.0]
[7020,1542,77145,1.0]
[5204,80,4044,1.0]
[5204,92,4639,1.0]
[5204,96,4810,1.0]
[7012,626,31307,1.0]
[7012,626,31335,1.0]
[7012,626,31336,1.0]
[7012,626,31338,1.0]
[7012,626,31339,1.0]
[7012,626,31340,1.0]
[6932,86,4348,1.0]
[6932,87,4386,1.0]
[6932,89,4469,1.0]
[6932,89,4497,1.0]
[6932,145,7257,1.0]
[6932,145,7299,1.0]
[6932,146,7341,1.0]
[6932,147,7357,1.0]
[6932,147,7394,1.0]
[6932,148,7409,1.0]
[6932,148,7425,1.0]
[6932,148,7447,1.0]
[7014,725,36280,1.0]
[7014,725,36295,1.0]
[6147,50,2525,1.0]
[6147,50,2535,1.0]
[6147,57,2852,1.0]
[6147,59,2972,1.0]
[6147,59,2993,1.0]
[5386,125,6251,1.0]
[7021,83,4159,1.0]
[7021,83,4163,1.0]
[7021,83,4188,1.0]
[7021,83,4194,1.0]
[7021,83,4200,1.0]
[7004,1496,74801,1.0]
[7004,1496,74811,1.0]
[7004,1496,74816,1.0]
[7004,1496,74818,1.0]
[7004,1496,74832,1.0]
[7004,1496,74835,1.0]
[7004,1496,74837,1.0]
[7004,1496,74838,1.0]
[7004,1496,74846,1.0]
[7004,1496,74848,1.0]
[7004,1496,74849,1.0]
[6203,10,534,1.0]
[6203,12,618,1.0]
[6203,13,652,1.0]
[6203,13,669,1.0]
[6203,13,684,1.0]
[6203,13,696,1.0]
[6203,14,717,1.0]
[6203,17,875,1.0]
[6203,17,878,1.0]
[6203,21,1062,1.0]
[7006,374,18711,1.0]
[7006,374,18714,1.0]
[7006,374,18715,1.0]
[7006,374,18723,1.0]
[7006,374,18726,1.0]
[7006,374,18727,1.0]
[7006,374,18735,1.0]
[7006,374,18742,1.0]
[7006,374,18743,1.0]
[7006,374,18744,1.0]
[7055,395,19761,1.0]
[7055,395,19766,1.0]
[7055,395,19772,1.0]
[7055,395,19783,1.0]
[7055,395,19788,1.0]
[7055,395,19790,1.0]
[7055,395,19794,1.0]
[7055,395,19795,1.0]
[6360,87,4355,1.0]
[6360,87,4382,1.0]
[6360,96,4847,1.0]
[6360,97,4853,1.0]
[6360,97,4867,1.0]
[6360,97,4885,1.0]
[6360,101,5056,1.0]
[6360,101,5070,1.0]
[6360,101,5074,1.0]
[6360,104,5222,1.0]
[6360,109,5481,1.0]
[6360,109,5493,1.0]
[7006,392,19609,1.0]
[7006,392,19617,1.0]
[7006,392,19621,1.0]
[7006,392,19623,1.0]
[7006,392,19625,1.0]
[7006,392,19630,1.0]
[7006,392,19642,1.0]
[7012,1001,50056,1.0]
[7012,1001,50059,1.0]
[7012,1001,50065,1.0]
[7012,1001,50095,1.0]
[7012,1001,50100,1.0]
[5160,24,1236,1.0]
[5160,24,1238,1.0]
[5160,26,1326,1.0]
[5160,26,1333,1.0]
[5160,29,1474,1.0]
[5160,31,1551,1.0]
[5160,32,1650,1.0]
[5160,36,1822,1.0]
[5160,37,1899,1.0]
[6178,14,703,1.0]
[7529,164,8218,1.0]
[7529,179,8971,1.0]
[7529,201,10059,1.0]
[7020,1407,70363,1.0]
[7020,1407,70376,1.0]
[7020,1407,70378,1.0]
[7020,1407,70390,1.0]
[7020,1407,70399,1.0]
[6356,65,3279,1.0]
[6356,66,3310,1.0]
[6356,68,3406,1.0]
[6356,69,3479,1.0]
[6356,72,3610,1.0]
[6356,72,3613,1.0]
[6356,73,3696,1.0]
[6535,141,7085,1.0]
