[run,subrun,event,Enu_true,newhaspi0]
[9340,245,12266,1438.8949871063232,1.0]
[9340,245,12295,4425.912380218506,1.0]
[9340,246,12324,1243.8913583755493,1.0]
[10646,6,334,1171.8885898590088,1.0]
[10646,7,353,1469.4114923477173,1.0]
[10646,9,451,1388.3249759674072,1.0]
[10646,11,593,1991.4979934692383,1.0]
[11971,47,2367,3745.093822479248,1.0]
[11971,47,2386,1416.8426990509033,1.0]
[11971,53,2676,1412.5303030014038,1.0]
[11971,53,2689,748.5717535018921,1.0]
[9710,159,8000,1435.0417852401733,1.0]
[9710,160,8016,1445.1338052749634,1.0]
[9710,160,8024,1392.2944068908691,1.0]
[9710,160,8027,1514.958381652832,1.0]
[9710,160,8049,5343.616485595703,1.0]
[9710,161,8051,1427.1742105484009,1.0]
[9710,161,8060,878.940224647522,1.0]
[9710,161,8067,1010.0659132003784,1.0]
[9710,161,8069,1061.3727569580078,1.0]
[9710,162,8115,1063.2272958755493,1.0]
[9710,162,8133,2751.2218952178955,1.0]
[9710,162,8140,1280.9652090072632,1.0]
[9710,162,8147,2271.7525959014893,1.0]
[11746,34,1731,843.2494401931763,1.0]
[11746,120,6007,1488.5272979736328,1.0]
[11746,120,6021,1459.4593048095703,1.0]
[11746,120,6024,1307.9570531845093,1.0]
[8648,255,12752,828.567624092102,1.0]
[12079,101,5090,1775.4539251327515,1.0]
[10734,31,1581,812.4874830245972,1.0]
[10734,31,1583,1392.4213647842407,1.0]
[10734,32,1628,1135.7760429382324,1.0]
[10734,33,1676,1774.6381759643555,1.0]
[10734,33,1677,1765.63560962677,1.0]
[10734,33,1688,3207.4856758117676,1.0]
[10734,33,1695,1591.7086601257324,1.0]
[9608,95,4763,1443.966031074524,1.0]
[9608,95,4765,883.8133215904236,1.0]
[9608,95,4786,997.3535537719727,1.0]
[9608,95,4798,1708.0198526382446,1.0]
[9608,97,4862,1056.298851966858,1.0]
[9608,98,4914,717.1326279640198,1.0]
[9608,98,4947,1587.8431797027588,1.0]
[8529,340,17006,3351.3474464416504,1.0]
[8529,340,17038,1480.9129238128662,1.0]
[8529,341,17051,1244.6117401123047,1.0]
[8529,341,17089,991.1191463470459,1.0]
[8529,342,17125,1815.964937210083,1.0]
[8529,343,17154,1000.328779220581,1.0]
[8529,343,17182,957.4787020683289,1.0]
[8529,343,17198,935.5761408805847,1.0]
[8529,343,17199,1339.5335674285889,1.0]
[9038,39,1964,1616.6059970855713,1.0]
[9038,40,2023,3047.97625541687,1.0]
[9038,40,2028,1164.2388105392456,1.0]
[9038,41,2051,1695.0708627700806,1.0]
[9038,41,2079,1475.957989692688,1.0]
[10547,154,7736,1461.4588022232056,1.0]
[10547,155,7774,3127.3858547210693,1.0]
[10547,155,7791,979.2782068252563,1.0]
