[run,subrun,event,newhaspi0]
[17349,15,792,1.0]
[17349,15,798,1.0]
[17349,20,1043,1.0]
[17349,27,1358,1.0]
[17349,48,2419,1.0]
[17349,87,4373,1.0]
[17349,78,3933,1.0]
[17349,78,3941,1.0]
[17349,98,4918,1.0]
[17349,98,4936,1.0]
[17349,53,2663,1.0]
[17349,93,4681,1.0]
[17349,93,4700,1.0]
[17349,108,5427,1.0]
[17349,108,5450,1.0]
[17351,0,39,1.0]
[17351,15,764,1.0]
[17351,15,792,1.0]
[17351,25,1255,1.0]
[17351,25,1291,1.0]
[17351,29,1462,1.0]
[17351,29,1492,1.0]
[17351,29,1497,1.0]
[17351,30,1532,1.0]
[17351,30,1544,1.0]
[17351,2,102,1.0]
[17351,2,148,1.0]
[17351,9,486,1.0]
[17351,9,497,1.0]
[17351,26,1314,1.0]
[17352,49,2451,1.0]
[17352,49,2481,1.0]
[17352,57,2873,1.0]
[17352,142,7113,1.0]
[17352,142,7137,1.0]
[17352,253,12659,1.0]
[17352,265,13294,1.0]
[17352,250,12502,1.0]
[17352,250,12535,1.0]
[17352,250,12546,1.0]
[17352,325,16252,1.0]
[17352,222,11128,1.0]
[17352,289,14472,1.0]
[17352,289,14498,1.0]
[17352,327,16363,1.0]
[14550,28,1411,1.0]
[14550,28,1440,1.0]
[14550,34,1709,1.0]
[14550,290,14513,1.0]
[14550,290,14524,1.0]
[14550,299,14951,1.0]
[17352,10,516,1.0]
[17352,331,16578,1.0]
[17352,331,16587,1.0]
[17352,229,11481,1.0]
[17352,229,11492,1.0]
[17352,337,16861,1.0]
[17352,337,16881,1.0]
[17352,337,16893,1.0]
[17352,181,9062,1.0]
[17352,181,9099,1.0]
[17352,204,10244,1.0]
[17352,119,5967,1.0]
[17352,124,6232,1.0]
[17352,154,7716,1.0]
[17352,154,7734,1.0]
[17352,193,9694,1.0]
[17352,98,4927,1.0]
[17352,98,4928,1.0]
[17352,177,8896,1.0]
[17352,178,8932,1.0]
[17352,243,12154,1.0]
[17352,243,12179,1.0]
[17352,0,1,1.0]
[17352,61,3051,1.0]
[17352,61,3091,1.0]
[17352,246,12308,1.0]
[17352,246,12332,1.0]
[17352,246,12336,1.0]
[17352,298,14908,1.0]
[17352,3,166,1.0]
[17352,54,2705,1.0]
[17352,54,2720,1.0]
[17352,148,7407,1.0]
[17352,148,7426,1.0]
[17352,235,11754,1.0]
[17352,235,11777,1.0]
[17352,235,11800,1.0]
[17352,79,3956,1.0]
[17352,79,3958,1.0]
[17352,84,4216,1.0]
[17352,84,4247,1.0]
[17352,115,5760,1.0]
[17352,115,5773,1.0]
[17352,145,7285,1.0]
[17352,88,4429,1.0]
[17352,88,4445,1.0]
[17352,117,5859,1.0]
[17352,117,5895,1.0]
[17352,306,15334,1.0]
[17352,306,15344,1.0]
[17352,321,16077,1.0]
[17352,24,1229,1.0]
[17352,74,3728,1.0]
[17352,171,8554,1.0]
[17352,171,8565,1.0]
[17352,171,8585,1.0]
[17352,228,11402,1.0]
[17352,228,11431,1.0]
[17352,228,11446,1.0]
[17352,276,13846,1.0]
[14550,0,29,1.0]
[14550,1,54,1.0]
[14550,107,5366,1.0]
[14550,107,5373,1.0]
[14550,133,6671,1.0]
[14550,191,9568,1.0]
[14550,191,9591,1.0]
[14550,200,10041,1.0]
[14550,226,11332,1.0]
[17352,116,5805,1.0]
[17352,116,5827,1.0]
[17352,214,10749,1.0]
[17352,272,13628,1.0]
[17352,272,13649,1.0]
[17352,296,14815,1.0]
[17352,296,14817,1.0]
[17352,296,14819,1.0]
[17352,20,1003,1.0]
[17352,20,1038,1.0]
[17352,122,6129,1.0]
[17352,122,6146,1.0]
[17352,122,6149,1.0]
[17352,125,6274,1.0]
[17352,125,6292,1.0]
[17352,134,6739,1.0]
[17352,165,8294,1.0]
[17352,206,10301,1.0]
[17352,206,10305,1.0]
[17352,206,10320,1.0]
[17352,206,10333,1.0]
[17352,139,6993,1.0]
[17352,139,6994,1.0]
[17352,293,14656,1.0]
[17352,322,16109,1.0]
[17352,322,16117,1.0]
[17352,322,16121,1.0]
[17352,322,16150,1.0]
[17352,17,864,1.0]
[17352,17,880,1.0]
[17352,17,891,1.0]
[17352,120,6049,1.0]
[17352,175,8758,1.0]
[17352,50,2527,1.0]
[17352,50,2546,1.0]
[17352,128,6421,1.0]
[17352,225,11270,1.0]
[17352,8,404,1.0]
[17352,65,3269,1.0]
[17352,72,3641,1.0]
[17352,78,3911,1.0]
[17352,78,3932,1.0]
[17352,78,3935,1.0]
[17352,81,4088,1.0]
[17352,81,4095,1.0]
[17352,11,583,1.0]
[17352,11,597,1.0]
[17352,69,3474,1.0]
[17352,247,12363,1.0]
[17352,28,1412,1.0]
[17352,60,3036,1.0]
[17352,248,12409,1.0]
[17352,248,12429,1.0]
[17352,53,2651,1.0]
[17352,77,3857,1.0]
[17352,86,4302,1.0]
[17352,86,4307,1.0]
[17352,126,6335,1.0]
[17352,126,6339,1.0]
[17352,255,12778,1.0]
[17352,255,12792,1.0]
[17352,43,2177,1.0]
[17352,315,15792,1.0]
[14550,24,1217,1.0]
[14550,24,1218,1.0]
[14550,108,5414,1.0]
[14550,159,7963,1.0]
[14550,159,7985,1.0]
[14550,159,7993,1.0]
[14550,219,10998,1.0]
